date,volume_usd
2025-07-14,11111714
2025-07-15,11326768
2025-07-16,12370446
2025-07-17,10849901
2025-07-18,16663141
2025-07-19,14870490
2025-07-20,15932376
2025-07-21,13608203
2025-07-22,15231856
2025-07-23,15032938
2025-07-24,12659074
2025-07-25,15977345
2025-07-26,15362870
2025-07-27,14348813
2025-07-28,17959217
2025-07-29,18487068
2025-07-30,22036095
2025-07-31,14504783
2025-08-01,16581998
2025-08-02,12969563
2025-08-03,14911004
2025-08-04,10821084
2025-08-05,12075681
2025-08-06,16035775
2025-08-07,14346471
2025-08-08,14600996
2025-08-09,13781773
2025-08-10,14022248
2025-08-11,11610068
2025-08-12,15090305
2025-08-13,19081451
2025-08-14,19058439
2025-08-15,19260673
2025-08-16,16525467
2025-08-17,17870497
2025-08-18,16567344
2025-08-19,18113488
2025-08-20,16543703
2025-08-21,15844361
2025-08-22,21284482
2025-08-23,15245778
2025-08-24,17432740
2025-08-25,16986734
2025-08-26,15161117
2025-08-27,20825228
2025-08-28,16516747
2025-08-29,17096855
2025-08-30,19233961
2025-08-31,18476752
2025-09-01,17343314
2025-09-02,22461065
2025-09-03,19121099
2025-09-04,17069242
2025-09-05,26363699
2025-09-06,19810295
2025-09-07,25407667
2025-09-08,18835078
2025-09-09,21029817
2025-09-10,19632257
2025-09-11,20247585
2025-09-12,21385837
2025-09-13,22628060
2025-09-14,29232039
2025-09-15,17826370
2025-09-16,29874126
2025-09-17,36901276
2025-09-18,23495780
2025-09-19,22270905
2025-09-20,26798837
2025-09-21,33365790
2025-09-22,24024420
2025-09-23,23587389
2025-09-24,22540526
2025-09-25,25425646
2025-09-26,20648321
2025-09-27,24593974
2025-09-28,36976410
2025-09-29,22261877
2025-09-30,27326928
2025-10-01,27515390
2025-10-02,23357075
2025-10-03,21378916
2025-10-04,26717925
2025-10-05,42215730
2025-10-06,22368965
2025-10-07,32583856
2025-10-08,36227025
2025-10-09,47492601
2025-10-10,57529035
2025-10-11,47207902
2025-10-12,49720775
2025-10-13,42817921
2025-10-14,42536008
2025-10-15,39412723
2025-10-16,49502849
2025-10-17,48209524
2025-10-18,59445690
2025-10-19,63469535
2025-10-20,47965387
2025-10-21,56106161
2025-10-22,54999040
2025-10-23,51756276
2025-10-24,50988368
2025-10-25,67116835
2025-10-26,62717658
2025-10-27,55732399
2025-10-28,67822032
2025-10-29,75101902
2025-10-30,80804195
2025-10-31,57403061
2025-11-01,73726132
2025-11-02,70412843
2025-11-03,60044116
2025-11-04,66761140
2025-11-05,72752904
2025-11-06,51450676
2025-11-07,49728228
2025-11-08,60910301
2025-11-09,85071860
2025-11-10,49121177
2025-11-11,48393758
2025-11-12,56559887
2025-11-13,73639593
2025-11-14,60594935
2025-11-15,56420866
2025-11-16,69773593
2025-11-17,57904738
2025-11-18,60964317
2025-11-19,52623149
2025-11-20,54474237
2025-11-21,57054284
2025-11-22,67098475
2025-11-23,70604769
2025-11-24,59712396
2025-11-25,70911822
2025-11-26,61037338
2025-11-27,62891250
2025-11-28,62627739
2025-11-29,65871547
2025-11-30,69626833
2025-12-01,64264602
2025-12-02,70694279
2025-12-03,69067810
2025-12-04,82437475
2025-12-05,75294787
2025-12-06,72985721
2025-12-07,85838132
2025-12-08,62741090
2025-12-09,79775042
2025-12-10,80863521
2025-12-11,59818869
2025-12-12,57710111
2025-12-13,52338151
2025-12-14,79000481
2025-12-15,59731217
2025-12-16,55484159
2025-12-17,53802155
2025-12-18,67106750
2025-12-19,91727068
2025-12-20,92728587
2025-12-21,85624521
2025-12-22,74070638
2025-12-23,73302683
2025-12-24,71292827
2025-12-25,72141737
2025-12-26,69371172
2025-12-27,72766289
2025-12-28,72962529
2025-12-29,87564085
2025-12-30,96815080
2025-12-31,86287361
2026-01-01,85056597
2026-01-02,83639156
2026-01-03,117218225
2026-01-04,93818429
2026-01-05,79225538
2026-01-06,84309736
2026-01-07,89972122
2026-01-08,87129120
2026-01-09,95321539
2026-01-10,111897718
2026-01-11,114689193
2026-01-12,100035166
2026-01-13,109356577
2026-01-14,115472853
2026-01-15,108848923
2026-01-16,107642388
2026-01-17,122031032
2026-01-18,127500348
2026-01-19,96030546
2026-01-20,108363427
2026-01-21,115148349
2026-01-22,111099576
2026-01-23,102869130
2026-01-24,120012038
2026-01-25,129787190
2026-01-26,112104531
2026-01-27,104259255
2026-01-28,139068712
2026-01-29,109334077
2026-01-30,146923384
2026-01-31,162662297
2026-02-01,140604093
